Name,ApplicableClasses
Pset_ElementAssemblyTypeTrackPanel,IfcElementAssemblyType
Pset_ElementAssemblyTypeTractionSwitchingAssembly,IfcElementAssembly_SWITCHING_ASSEMBLY
Pset_ElementAssemblyTypeTractionSwitchingAssembly,IfcElementAssemblyType_SWITCHING_ASSEMBLY
Pset_ElementAssemblyTypeTurnoutPanel,IfcElementAssembly
Pset_ElementAssemblyTypeTurnoutPanel,IfcElementAssemblyType
Pset_ElementComponentCommon,IfcElementComponent
Pset_ElementComponentCommon,IfcElementComponentType
Pset_ElementKinematics,IfcElement
Pset_ElementKinematics,IfcElementType
Pset_ElementSize,IfcDistributionChamberElement
Pset_ElementSize,IfcEnergyConversionDevice
Pset_ElementSize,IfcFlowController
Pset_ElementSize,IfcFlowMovingDevice
Pset_ElementSize,IfcFlowStorageDevice
Pset_ElementSize,IfcFlowTerminal
Pset_ElementSize,IfcFlowTreatmentDevice
Pset_ElementSize,IfcDistributionChamberElementType
Pset_ElementSize,IfcEnergyConversionDeviceType
Pset_ElementSize,IfcFlowControllerType
Pset_ElementSize,IfcFlowMovingDeviceType
Pset_ElementSize,IfcFlowStorageDeviceType
Pset_ElementSize,IfcFlowTerminalType
Pset_ElementSize,IfcFlowTreatmentDeviceType
Pset_EmbeddedTrack,IfcSlab
Pset_EmbeddedTrack,IfcSlabType
Pset_EnergyRequirements,IfcDistributionElement
Pset_EnergyRequirements,IfcTransportationDevice
Pset_EnergyRequirements,IfcDistributionElementType
Pset_EnergyRequirements,IfcTransportationDeviceType
Pset_EngineTypeCommon,IfcEngine
